"YEAR","Month","ctd","Day","Date"
2000,"JAN",4780,1,"2000-01-01"
2000,"FEB",5390,1,"2000-02-01"
2000,"MAR",5180,1,"2000-03-01"
2000,"APR",5920,1,"2000-04-01"
2000,"MAY",6180,1,"2000-05-01"
2000,"JUN",6450,1,"2000-06-01"
2000,"JUL",6310,1,"2000-07-01"
2000,"AUG",6410,1,"2000-08-01"
2000,"SEP",5870,1,"2000-09-01"
2000,"OCT",5370,1,"2000-10-01"
2000,"NOV",4580,1,"2000-11-01"
2000,"DEC",4630,1,"2000-12-01"
2001,"JAN",4760,1,"2001-01-01"
2001,"FEB",5480,1,"2001-02-01"
2001,"MAR",5220,1,"2001-03-01"
2001,"APR",6220,1,"2001-04-01"
2001,"MAY",6190,1,"2001-05-01"
2001,"JUN",6510,1,"2001-06-01"
2001,"JUL",6260,1,"2001-07-01"
2001,"AUG",6000,1,"2001-08-01"
2001,"SEP",5900,1,"2001-09-01"
2001,"OCT",4760,1,"2001-10-01"
2001,"NOV",3490,1,"2001-11-01"
2001,"DEC",4390,1,"2001-12-01"
2002,"JAN",4240,1,"2002-01-01"
2002,"FEB",5140,1,"2002-02-01"
2002,"MAR",5420,1,"2002-03-01"
2002,"APR",6330,1,"2002-04-01"
2002,"MAY",6510,1,"2002-05-01"
2002,"JUN",6430,1,"2002-06-01"
2002,"JUL",6730,1,"2002-07-01"
2002,"AUG",6090,1,"2002-08-01"
2002,"SEP",5920,1,"2002-09-01"
2002,"OCT",4710,1,"2002-10-01"
2002,"NOV",4020,1,"2002-11-01"
2002,"DEC",5120,1,"2002-12-01"
2003,"JAN",4170,1,"2003-01-01"
2003,"FEB",5490,1,"2003-02-01"
2003,"MAR",5900,1,"2003-03-01"
2003,"APR",6140,1,"2003-04-01"
2003,"MAY",6420,1,"2003-05-01"
2003,"JUN",6990,1,"2003-06-01"
2003,"JUL",6500,1,"2003-07-01"
2003,"AUG",6200,1,"2003-08-01"
2003,"SEP",5690,1,"2003-09-01"
2003,"OCT",4640,1,"2003-10-01"
2003,"NOV",5090,1,"2003-11-01"
2003,"DEC",3570,1,"2003-12-01"
2004,"JAN",4660,1,"2004-01-01"
2004,"FEB",4620,1,"2004-02-01"
2004,"MAR",5750,1,"2004-03-01"
2004,"APR",5460,1,"2004-04-01"
2004,"MAY",6080,1,"2004-05-01"
2004,"JUN",6460,1,"2004-06-01"
2004,"JUL",6540,1,"2004-07-01"
2004,"AUG",5950,1,"2004-08-01"
2004,"SEP",5470,1,"2004-09-01"
2004,"OCT",4230,1,"2004-10-01"
2004,"NOV",4490,1,"2004-11-01"
2004,"DEC",4440,1,"2004-12-01"
2005,"JAN",4620,1,"2005-01-01"
2005,"FEB",5710,1,"2005-02-01"
2005,"MAR",5140,1,"2005-03-01"
2005,"APR",5210,1,"2005-04-01"
2005,"MAY",5940,1,"2005-05-01"
2005,"JUN",6470,1,"2005-06-01"
2005,"JUL",6600,1,"2005-07-01"
2005,"AUG",6340,1,"2005-08-01"
2005,"SEP",5380,1,"2005-09-01"
2005,"OCT",4460,1,"2005-10-01"
2005,"NOV",4440,1,"2005-11-01"
2005,"DEC",3550,1,"2005-12-01"
2006,"JAN",4900,1,"2006-01-01"
2006,"FEB",5720,1,"2006-02-01"
2006,"MAR",5260,1,"2006-03-01"
2006,"APR",5770,1,"2006-04-01"
2006,"MAY",6100,1,"2006-05-01"
2006,"JUN",6720,1,"2006-06-01"
2006,"JUL",6600,1,"2006-07-01"
2006,"AUG",5680,1,"2006-08-01"
2006,"SEP",5310,1,"2006-09-01"
2006,"OCT",4650,1,"2006-10-01"
2006,"NOV",4730,1,"2006-11-01"
2006,"DEC",4070,1,"2006-12-01"
2007,"JAN",4110,1,"2007-01-01"
2007,"FEB",5070,1,"2007-02-01"
2007,"MAR",5760,1,"2007-03-01"
2007,"APR",5780,1,"2007-04-01"
2007,"MAY",5870,1,"2007-05-01"
2007,"JUN",6660,1,"2007-06-01"
2007,"JUL",6460,1,"2007-07-01"
2007,"AUG",6110,1,"2007-08-01"
2007,"SEP",5870,1,"2007-09-01"
2007,"OCT",5110,1,"2007-10-01"
2007,"NOV",4180,1,"2007-11-01"
2007,"DEC",4400,1,"2007-12-01"
2008,"JAN",4820,1,"2008-01-01"
2008,"FEB",4720,1,"2008-02-01"
2008,"MAR",5200,1,"2008-03-01"
2008,"APR",5770,1,"2008-04-01"
2008,"MAY",6130,1,"2008-05-01"
2008,"JUN",6680,1,"2008-06-01"
2008,"JUL",6770,1,"2008-07-01"
2008,"AUG",6030,1,"2008-08-01"
2008,"SEP",5570,1,"2008-09-01"
2008,"OCT",4750,1,"2008-10-01"
2008,"NOV",4200,1,"2008-11-01"
2008,"DEC",3750,1,"2008-12-01"
2009,"JAN",4420,1,"2009-01-01"
2009,"FEB",5400,1,"2009-02-01"
2009,"MAR",5300,1,"2009-03-01"
2009,"APR",5650,1,"2009-04-01"
2009,"MAY",5810,1,"2009-05-01"
2009,"JUN",6190,1,"2009-06-01"
2009,"JUL",6470,1,"2009-07-01"
2009,"AUG",5810,1,"2009-08-01"
2009,"SEP",5530,1,"2009-09-01"
2009,"OCT",4130,1,"2009-10-01"
2009,"NOV",4880,1,"2009-11-01"
2009,"DEC",4190,1,"2009-12-01"
2010,"JAN",4480,1,"2010-01-01"
2010,"FEB",5510,1,"2010-02-01"
2010,"MAR",5940,1,"2010-03-01"
2010,"APR",5940,1,"2010-04-01"
2010,"MAY",6310,1,"2010-05-01"
2010,"JUN",6580,1,"2010-06-01"
2010,"JUL",6480,1,"2010-07-01"
2010,"AUG",5820,1,"2010-08-01"
2010,"SEP",5990,1,"2010-09-01"
2010,"OCT",4950,1,"2010-10-01"
2010,"NOV",4180,1,"2010-11-01"
2010,"DEC",3650,1,"2010-12-01"
2011,"JAN",4150,1,"2011-01-01"
2011,"FEB",5340,1,"2011-02-01"
2011,"MAR",5160,1,"2011-03-01"
2011,"APR",5040,1,"2011-04-01"
2011,"MAY",6030,1,"2011-05-01"
2011,"JUN",6630,1,"2011-06-01"
2011,"JUL",6500,1,"2011-07-01"
2011,"AUG",5560,1,"2011-08-01"
2011,"SEP",5620,1,"2011-09-01"
2011,"OCT",4940,1,"2011-10-01"
2011,"NOV",4960,1,"2011-11-01"
2011,"DEC",4240,1,"2011-12-01"
2012,"JAN",4370,1,"2012-01-01"
2012,"FEB",5080,1,"2012-02-01"
2012,"MAR",5600,1,"2012-03-01"
2012,"APR",5420,1,"2012-04-01"
2012,"MAY",5800,1,"2012-05-01"
2012,"JUN",6910,1,"2012-06-01"
2012,"JUL",6430,1,"2012-07-01"
2012,"AUG",5750,1,"2012-08-01"
2012,"SEP",5390,1,"2012-09-01"
2012,"OCT",4340,1,"2012-10-01"
2012,"NOV",4950,1,"2012-11-01"
2012,"DEC",4330,1,"2012-12-01"
2013,"JAN",4210,1,"2013-01-01"
2013,"FEB",5350,1,"2013-02-01"
2013,"MAR",4980,1,"2013-03-01"
2013,"APR",5250,1,"2013-04-01"
2013,"MAY",6240,1,"2013-05-01"
2013,"JUN",6440,1,"2013-06-01"
2013,"JUL",6430,1,"2013-07-01"
2013,"AUG",5590,1,"2013-08-01"
2013,"SEP",5400,1,"2013-09-01"
2013,"OCT",4450,1,"2013-10-01"
2013,"NOV",4390,1,"2013-11-01"
2013,"DEC",3470,1,"2013-12-01"
2014,"JAN",3770,1,"2014-01-01"
2014,"FEB",5480,1,"2014-02-01"
2014,"MAR",5010,1,"2014-03-01"
2014,"APR",5610,1,"2014-04-01"
2014,"MAY",6580,1,"2014-05-01"
2014,"JUN",6890,1,"2014-06-01"
2014,"JUL",6350,1,"2014-07-01"
2014,"AUG",6070,1,"2014-08-01"
2014,"SEP",5620,1,"2014-09-01"
2014,"OCT",4700,1,"2014-10-01"
2014,"NOV",4770,1,"2014-11-01"
2014,"DEC",3670,1,"2014-12-01"
